,User ID,Name,Date of Birth,Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Payment Information,Renewal Status,Usage Frequency,Favorite Genres,Devices Used,Engagement Metrics,Customer Support Interactions
0,1,Ronald Murphy,1953-06-03,Male,Rebeccachester,2024-01-15,2025-01-14,Annual,Mastercard,Manual,Regular,Documentary,Smart TV,Medium,3
1,2,Scott Allen,1978-07-08,Male,Mcphersonview,2024-01-07,2025-01-06,Monthly,Visa,Manual,Regular,Horror,Smartphone,Medium,7
2,3,Jonathan Parrish,1994-12-06,Female,Youngfort,2024-04-13,2025-04-13,Monthly,Mastercard,Manual,Regular,Comedy,Smart TV,Low,8
3,4,Megan Williams,1964-12-22,Female,Feliciashire,2024-01-24,2025-01-23,Monthly,Amex,Auto-renew,Regular,Documentary,Smart TV,High,7
4,5,Kathryn Brown,1961-06-04,Male,Port Deborah,2024-02-14,2025-02-13,Annual,Visa,Auto-renew,Frequent,Drama,Smart TV,Low,1
5,6,Sandra Cox,1954-09-19,Female,Lake Johnathan,2024-01-15,2025-01-14,Monthly,Amex,Manual,Occasional,Action,Tablet,Low,2
6,7,Benjamin Marshall,2003-02-09,Male,Carlsonchester,2024-04-08,2025-04-08,Monthly,Amex,Auto-renew,Frequent,Sci-Fi,Tablet,Medium,10
7,8,James Smith,1946-10-04,Male,West Matthewborough,2024-02-16,2025-02-15,Monthly,Visa,Manual,Regular,Horror,Smart TV,Medium,6
8,9,Bradley Green,1950-12-24,Female,Karenshire,2024-04-09,2025-04-09,Annual,Amex,Manual,Frequent,Documentary,Smartphone,Medium,8
9,10,Kayla Hernandez,1963-06-16,Male,West Stephen,2024-03-10,2025-03-10,Monthly,Visa,Auto-renew,Frequent,Drama,Tablet,High,6
10,11,Douglas Hampton,1997-11-28,Female,Cynthiaport,2024-03-24,2025-03-24,Monthly,Visa,Manual,Regular,Documentary,Smart TV,Low,1
11,12,Andrew Gomez,1952-09-08,Female,Hillberg,2024-03-07,2025-03-07,Annual,Amex,Manual,Regular,Horror,Smart TV,Low,6
12,13,Kevin Mayo,1981-11-18,Female,Michaeltown,2024-01-10,2025-01-09,Monthly,Amex,Auto-renew,Regular,Action,Tablet,Medium,0
13,14,Gregory Thomas,1989-08-17,Female,Harrisport,2024-01-07,2025-01-06,Annual,Amex,Auto-renew,Frequent,Horror,Tablet,Medium,0
14,15,Melanie Burns,2003-04-07,Male,East Janetfurt,2024-02-23,2025-02-22,Annual,Visa,Manual,Regular,Sci-Fi,Smartphone,Medium,10
15,16,Brittany Crane,1993-03-19,Female,Port Jeremyfurt,2024-01-03,2025-01-02,Annual,Amex,Manual,Occasional,Horror,Smartphone,Low,0
